symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
2,"164","audi","gas","std","four","sedan","fwd","front",99.800000,176.600000,66.200000,54.300000,2337,"ohc","four",109,"mpfi",3.190000,3.400000,10.000000,102,5500,24,30,13950
2,"164","audi","gas","std","four","sedan","4wd","front",99.400000,176.600000,66.400000,54.300000,2824,"ohc","five",136,"mpfi",3.190000,3.400000,8.000000,115,5500,18,22,17450
1,"158","audi","gas","std","four","sedan","fwd","front",105.800000,192.700000,71.400000,55.700000,2844,"ohc","five",136,"mpfi",3.190000,3.400000,8.500000,110,5500,19,25,17710
1,"158","audi","gas","turbo","four","sedan","fwd","front",105.800000,192.700000,71.400000,55.900000,3086,"ohc","five",131,"mpfi",3.130000,3.400000,8.300000,140,5500,17,20,23875
2,"192","bmw","gas","std","two","sedan","rwd","front",101.200000,176.800000,64.800000,54.300000,2395,"ohc","four",108,"mpfi",3.500000,2.800000,8.800000,101,5800,23,29,16430
0,"192","bmw","gas","std","four","sedan","rwd","front",101.200000,176.800000,64.800000,54.300000,2395,"ohc","four",108,"mpfi",3.500000,2.800000,8.800000,101,5800,23,29,16925
0,"188","bmw","gas","std","two","sedan","rwd","front",101.200000,176.800000,64.800000,54.300000,2710,"ohc","six",164,"mpfi",3.310000,3.190000,9.000000,121,4250,21,28,20970
0,"188","bmw","gas","std","four","sedan","rwd","front",101.200000,176.800000,64.800000,54.300000,2765,"ohc","six",164,"mpfi",3.310000,3.190000,9.000000,121,4250,21,28,21105
2,"121","chevrolet","gas","std","two","hatchback","fwd","front",88.400000,141.100000,60.300000,53.200000,1488,"l","three",61,"2bbl",2.910000,3.030000,9.500000,48,5100,47,53,5151
1,"98","chevrolet","gas","std","two","hatchback","fwd","front",94.500000,155.900000,63.600000,52.000000,1874,"ohc","four",90,"2bbl",3.030000,3.110000,9.600000,70,5400,38,43,6295
0,"81","chevrolet","gas","std","four","sedan","fwd","front",94.500000,158.800000,63.600000,52.000000,1909,"ohc","four",90,"2bbl",3.030000,3.110000,9.600000,70,5400,38,43,6575
1,"118","dodge","gas","std","two","hatchback","fwd","front",93.700000,157.300000,63.800000,50.800000,1876,"ohc","four",90,"2bbl",2.970000,3.230000,9.410000,68,5500,37,41,5572
1,"118","dodge","gas","std","two","hatchback","fwd","front",93.700000,157.300000,63.800000,50.800000,1876,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6377
1,"118","dodge","gas","turbo","two","hatchback","fwd","front",93.700000,157.300000,63.800000,50.800000,2128,"ohc","four",98,"mpfi",3.030000,3.390000,7.600000,102,5500,24,30,7957
1,"148","dodge","gas","std","four","hatchback","fwd","front",93.700000,157.300000,63.800000,50.600000,1967,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6229
1,"148","dodge","gas","std","four","sedan","fwd","front",93.700000,157.300000,63.800000,50.600000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6692
1,"148","dodge","gas","std","four","sedan","fwd","front",93.700000,157.300000,63.800000,50.600000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,7609
-1,"110","dodge","gas","std","four","wagon","fwd","front",103.300000,174.600000,64.600000,59.800000,2535,"ohc","four",122,"2bbl",3.340000,3.460000,8.500000,88,5000,24,30,8921
3,"145","dodge","gas","turbo","two","hatchback","fwd","front",95.900000,173.200000,66.300000,50.200000,2811,"ohc","four",156,"mfi",3.600000,3.900000,7.000000,145,5000,19,24,12964
2,"137","honda","gas","std","two","hatchback","fwd","front",86.600000,144.600000,63.900000,50.800000,1713,"ohc","four",92,"1bbl",2.910000,3.410000,9.600000,58,4800,49,54,6479
2,"137","honda","gas","std","two","hatchback","fwd","front",86.600000,144.600000,63.900000,50.800000,1819,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,31,38,6855
1,"101","honda","gas","std","two","hatchback","fwd","front",93.700000,150.000000,64.000000,52.600000,1837,"ohc","four",79,"1bbl",2.910000,3.070000,10.100000,60,5500,38,42,5399
1,"101","honda","gas","std","two","hatchback","fwd","front",93.700000,150.000000,64.000000,52.600000,1940,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,6529
1,"101","honda","gas","std","two","hatchback","fwd","front",93.700000,150.000000,64.000000,52.600000,1956,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,7129
0,"110","honda","gas","std","four","sedan","fwd","front",96.500000,163.400000,64.000000,54.500000,2010,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,7295
0,"78","honda","gas","std","four","wagon","fwd","front",96.500000,157.100000,63.900000,58.300000,2024,"ohc","four",92,"1bbl",2.920000,3.410000,9.200000,76,6000,30,34,7295
0,"106","honda","gas","std","two","hatchback","fwd","front",96.500000,167.500000,65.200000,53.300000,2236,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,7895
0,"106","honda","gas","std","two","hatchback","fwd","front",96.500000,167.500000,65.200000,53.300000,2289,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,9095
0,"85","honda","gas","std","four","sedan","fwd","front",96.500000,175.400000,65.200000,54.100000,2304,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,8845
0,"85","honda","gas","std","four","sedan","fwd","front",96.500000,175.400000,62.500000,54.100000,2372,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,10295
0,"85","honda","gas","std","four","sedan","fwd","front",96.500000,175.400000,65.200000,54.100000,2465,"ohc","four",110,"mpfi",3.150000,3.580000,9.000000,101,5800,24,28,12945
1,"107","honda","gas","std","two","sedan","fwd","front",96.500000,169.100000,66.000000,51.000000,2293,"ohc","four",110,"2bbl",3.150000,3.580000,9.100000,100,5500,25,31,10345
0,"145","jaguar","gas","std","four","sedan","rwd","front",113.000000,199.600000,69.600000,52.800000,4066,"dohc","six",258,"mpfi",3.630000,4.170000,8.100000,176,4750,15,19,32250
1,"104","mazda","gas","std","two","hatchback","fwd","front",93.100000,159.100000,64.200000,54.100000,1890,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,30,31,5195
1,"104","mazda","gas","std","two","hatchback","fwd","front",93.100000,159.100000,64.200000,54.100000,1900,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6095
1,"104","mazda","gas","std","two","hatchback","fwd","front",93.100000,159.100000,64.200000,54.100000,1905,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6795
1,"113","mazda","gas","std","four","sedan","fwd","front",93.100000,166.800000,64.200000,54.100000,1945,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6695
1,"113","mazda","gas","std","four","sedan","fwd","front",93.100000,166.800000,64.200000,54.100000,1950,"ohc","four",91,"2bbl",3.080000,3.150000,9.000000,68,5000,31,38,7395
1,"129","mazda","gas","std","two","hatchback","fwd","front",98.800000,177.800000,66.500000,53.700000,2385,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,8845
0,"115","mazda","gas","std","four","sedan","fwd","front",98.800000,177.800000,66.500000,55.500000,2410,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,8495
1,"129","mazda","gas","std","two","hatchback","fwd","front",98.800000,177.800000,66.500000,53.700000,2385,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,10595
0,"115","mazda","gas","std","four","sedan","fwd","front",98.800000,177.800000,66.500000,55.500000,2410,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,10245
0,"115","mazda","gas","std","four","hatchback","fwd","front",98.800000,177.800000,66.500000,55.500000,2425,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,11245
0,"118","mazda","gas","std","four","sedan","rwd","front",104.900000,175.000000,66.100000,54.400000,2670,"ohc","four",140,"mpfi",3.760000,3.160000,8.000000,120,5000,19,27,18280
-1,"93","mercedes-benz","diesel","turbo","four","sedan","rwd","front",110.000000,190.900000,70.300000,56.500000,3515,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,25552
-1,"93","mercedes-benz","diesel","turbo","four","wagon","rwd","front",110.000000,190.900000,70.300000,58.700000,3750,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,28248
0,"93","mercedes-benz","diesel","turbo","two","hardtop","rwd","front",106.700000,187.500000,70.300000,54.900000,3495,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,28176
-1,"93","mercedes-benz","diesel","turbo","four","sedan","rwd","front",115.600000,202.600000,71.700000,56.300000,3770,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,31600
3,"142","mercedes-benz","gas","std","two","convertible","rwd","front",96.600000,180.300000,70.500000,50.800000,3685,"ohcv","eight",234,"mpfi",3.460000,3.100000,8.300000,155,4750,16,18,35056
2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.700000,157.300000,64.400000,50.800000,1918,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,37,41,5389
2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.700000,157.300000,64.400000,50.800000,1944,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6189
2,"161","mitsubishi","gas","std","two","hatchback","fwd","front",93.700000,157.300000,64.400000,50.800000,2004,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6669
1,"161","mitsubishi","gas","turbo","two","hatchback","fwd","front",93.000000,157.300000,63.800000,50.800000,2145,"ohc","four",98,"spdi",3.030000,3.390000,7.600000,102,5500,24,30,7689
3,"153","mitsubishi","gas","turbo","two","hatchback","fwd","front",96.300000,173.000000,65.400000,49.400000,2370,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9959
3,"153","mitsubishi","gas","std","two","hatchback","fwd","front",96.300000,173.000000,65.400000,49.400000,2328,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,8499
1,"125","mitsubishi","gas","std","four","sedan","fwd","front",96.300000,172.400000,65.400000,51.600000,2365,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,6989
1,"125","mitsubishi","gas","std","four","sedan","fwd","front",96.300000,172.400000,65.400000,51.600000,2405,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,8189
1,"125","mitsubishi","gas","turbo","four","sedan","fwd","front",96.300000,172.400000,65.400000,51.600000,2403,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9279
-1,"137","mitsubishi","gas","std","four","sedan","fwd","front",96.300000,172.400000,65.400000,51.600000,2403,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9279
1,"128","nissan","gas","std","two","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,1889,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,5499
1,"128","nissan","diesel","std","two","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,2017,"ohc","four",103,"idi",2.990000,3.470000,21.900000,55,4800,45,50,7099
1,"128","nissan","gas","std","two","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,1918,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,6649
1,"122","nissan","gas","std","four","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,1938,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,6849
1,"103","nissan","gas","std","four","wagon","fwd","front",94.500000,170.200000,63.800000,53.500000,2024,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7349
1,"128","nissan","gas","std","two","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,1951,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7299
1,"128","nissan","gas","std","two","hatchback","fwd","front",94.500000,165.600000,63.800000,53.300000,2028,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7799
1,"122","nissan","gas","std","four","sedan","fwd","front",94.500000,165.300000,63.800000,54.500000,1971,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7499
1,"103","nissan","gas","std","four","wagon","fwd","front",94.500000,170.200000,63.800000,53.500000,2037,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7999
2,"168","nissan","gas","std","two","hardtop","fwd","front",95.100000,162.400000,63.800000,53.300000,2008,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,8249
0,"106","nissan","gas","std","four","hatchback","fwd","front",97.200000,173.400000,65.200000,54.700000,2324,"ohc","four",120,"2bbl",3.330000,3.470000,8.500000,97,5200,27,34,8949
0,"106","nissan","gas","std","four","sedan","fwd","front",97.200000,173.400000,65.200000,54.700000,2302,"ohc","four",120,"2bbl",3.330000,3.470000,8.500000,97,5200,27,34,9549
0,"128","nissan","gas","std","four","sedan","fwd","front",100.400000,181.700000,66.500000,55.100000,3095,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,17,22,13499
0,"108","nissan","gas","std","four","wagon","fwd","front",100.400000,184.600000,66.500000,56.100000,3296,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,17,22,14399
0,"108","nissan","gas","std","four","sedan","fwd","front",100.400000,184.600000,66.500000,55.100000,3060,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,19,25,13499
3,"194","nissan","gas","std","two","hatchback","rwd","front",91.300000,170.700000,67.900000,49.700000,3071,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,17199
3,"194","nissan","gas","turbo","two","hatchback","rwd","front",91.300000,170.700000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,7.800000,200,5200,17,23,19699
1,"231","nissan","gas","std","two","hatchback","rwd","front",99.200000,178.500000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,18399
0,"161","peugot","gas","std","four","sedan","rwd","front",107.900000,186.700000,68.400000,56.700000,3020,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,11900
